메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
티라미수라떼,400.6,37.8,196.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630162717_1656574037958_MK_IcEfyCf.jpg
꿀아메리카노,172.4,30.4,199.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630162823_1656574103639_gpa2ja7vHl.jpg
바닐라라떼,231.9,12.6,189.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630163106_1656574266929_v3PaYBqN99.jpg
바닐라아메리카노,84.3,19.0,196.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630163330_1656574410483_cz_Tmv21CE.jpg
연유라떼,321.6,32.8,194.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171508_1656663308775_Bd0wI6G9my.jpg
카라멜마끼아또,244.9,20.9,206.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630163626_1656574586502_Hh19hMijc6.jpg
카페라떼,175.4,10.8,189.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630163827_1656574707981_wvnN5idvmp.jpg
카페모카,380.9,38.5,211.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630164022_1656574822815_vF353Tg7hS.jpg
카푸치노,145.5,3.4,201.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630164244_1656574964279_GmhWXt57V5.jpg
콜드브루라떼,164.2,2.1,216.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630164407_1656575047762_9sXtnz_cja.jpg
콜드브루오리지널,10.6,0.0,217.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630164717_1656575237515_oZTJ4tIb1r.jpg
헤이즐넛라떼,240.5,9.7,204.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630164821_1656575301351_3tALCi6kNg.jpg
헤이즐넛아메리카노,82.7,9.5,209.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630164924_1656575364475_feNS9vEV6A.jpg
꿀아메리카노,162.2,30.6,198.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165049_1656575449464_E1DEXFVNdW.jpg
바닐라라떼,244.2,20.3,210.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165146_1656575506210_0DJPVTvDIa.jpg
바닐라아메리카노,121.9,6.9,144.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165235_1656575555877_RSKgcHXQl3.jpg
카라멜마끼아또,243.9,18.5,208.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165339_1656575619040_5XSmRW4GJT.jpg
카페라떼,145.1,9.2,199.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165440_1656575680273_1mqBtip7qh.jpg
카페모카,305.4,36.3,219.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165537_1656575737487_Bxg3VBe7i4.jpg
카푸치노,132.4,1.1,192.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171815_1656663495020_hBTogoFiaK.jpg
콜드브루라떼,167.6,2.3,131.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165729_1656575849505_E5EJrrZjIF.jpg
콜드브루오리지널,7.2,0.0,156.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630165819_1656575899792_ItfqiNDhPh.jpg
