메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
피치우롱스위티(ICED),150.0,32.0,71.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-피치우롱스위티-1-450x588.png"""
우롱티(HOT),7.0,0.0,92.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-우롱티-450x588.png"""
우롱티(ICED),3.0,0.0,67.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-우롱티-450x588.png"""
레몬얼그레이티(HOT),110.0,25.0,72.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-레몬얼그레이티-450x588.png"""
레몬얼그레이티(ICED),110.0,25.0,72.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-레몬얼그레이티-450x588.png"""
오렌지자몽블랙티(HOT),110.0,25.0,90.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-오렌지자몽블랙티-450x588.png"""
오렌지자몽블랙티(ICED),110.0,25.0,90.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-오렌지자몽블랙티-450x588.png"""
유자티(HOT),284.0,69.0,0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/유자티_핫-450x588.png"""
유자티(ICED),261.0,64.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/유자티_아이스-450x588.png"""
자몽티(HOT),281.0,66.0,0.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-자몽티-450x588.png"""
자몽티(ICED),242.0,52.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-자몽티-450x588.png"""
청포도플라워(ICED),220.0,52.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/청포도플라워-450x588.png"""
아이스미초,147.0,36.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/아이스미초석류-450x588.png"""
딸기에이드(ICED),184.0,39.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2022/02/딸기에이드-450x588.png"""
