메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
HOT 블랙퍼스트,0.0,0.0,9.2,0,0,https://composecoffee.com/files/thumbnails/807/038/384x530.crop.jpg?t=1705465437
ICE 블랙퍼스트,0.0,0.0,9.2,0,1,https://composecoffee.com/files/thumbnails/789/038/384x530.crop.jpg?t=1705465455
HOT 자몽티,239.8,49.1,9.2,0,0,https://composecoffee.com/files/thumbnails/309/384x530.crop.jpg?t=1705465488
ICE 자몽티,239.8,49.1,9.2,0,1,https://composecoffee.com/files/thumbnails/678/038/384x530.crop.jpg?t=1705465504
HOT 레몬티,242.2,50.3,9.2,0,0,https://composecoffee.com/files/thumbnails/311/384x530.crop.jpg?t=1705465524
ICE 레몬티,242.2,50.3,9.2,0,1,https://composecoffee.com/files/thumbnails/680/038/384x530.crop.jpg?t=1705465544
HOT 유자티,282.6,59.1,9.2,0,0,https://composecoffee.com/files/thumbnails/313/384x530.crop.jpg?t=1705465567
ICE 유자티,282.6,59.1,9.2,0,1,https://composecoffee.com/files/thumbnails/682/038/384x530.crop.jpg?t=1705465592
블루레몬 스페셜에이드,161.6,39.6,9.2,0,1,https://composecoffee.com/files/thumbnails/289/384x530.crop.jpg?t=1705465702
청포도 스페셜에이드,220.2,52.2,9.2,0,1,https://composecoffee.com/files/thumbnails/291/384x530.crop.jpg?t=1705465718
패션후르츠 스페셜에이드,226.0,55.5,9.2,0,1,https://composecoffee.com/files/thumbnails/293/384x530.crop.jpg?t=1705465735
자몽에이드,175.6,42.2,9.2,0,1,https://composecoffee.com/files/thumbnails/281/384x530.crop.jpg?t=1705465752
레몬에이드,178.8,43.8,9.2,0,1,https://composecoffee.com/files/thumbnails/283/384x530.crop.jpg?t=1705465774
망고에이드,181.9,39.4,9.2,0,1,https://composecoffee.com/files/thumbnails/285/384x530.crop.jpg?t=1705465792
유자에이드,175.6,74.2,9.2,0,1,https://composecoffee.com/files/thumbnails/287/384x530.crop.jpg?t=1705465811
리얼초코자바칩프라페,575.4,55.6,9.2,0,1,https://composecoffee.com/files/thumbnails/315/384x530.crop.jpg?t=1705465925
쿠키초코프라페,511.8,49.8,9.2,0,1,https://composecoffee.com/files/thumbnails/317/384x530.crop.jpg?t=1705465942
민트초코오레오프라페,548.0,59.08,9.2,0,1,https://composecoffee.com/files/thumbnails/319/384x530.crop.jpg?t=1705465958
그린티프라페,518.8,64.2,9.2,0,1,https://composecoffee.com/files/thumbnails/321/384x530.crop.jpg?t=1705465978
모카자바칩프라페,555.4,53.1,9.2,0,1,https://composecoffee.com/files/thumbnails/235/384x530.crop.jpg?t=1705468639
플레인 밀크쉐이크,560.2,47.7,9.2,0,1,https://composecoffee.com/files/thumbnails/323/384x530.crop.jpg?t=1705466337
캔디소다 밀크쉐이크,583.6,58.61,9.2,0,1,https://composecoffee.com/files/thumbnails/896/064/384x530.crop.jpg?t=1705466405
쿠키 밀크쉐이크,671.6,62.3,9.2,0,1,https://composecoffee.com/files/thumbnails/327/384x530.crop.jpg?t=1705466423
커피밀크쉐이크,565.0,51.7,9.2,0,1,https://composecoffee.com/files/thumbnails/231/384x530.crop.jpg?t=1707207443
팥절미 밀크쉐이크,704.0,78.5,9.2,0,1,https://composecoffee.com/files/thumbnails/325/384x530.crop.jpg?t=1705466468
