메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
클래식 민트 모카,335,43,210,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9200000004313]_20221005145157135.jpg
망고 용과 레모네이드 스타벅스 리프레셔,95,23,25,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004439]_20230710134200155.jpg
퍼플 드링크 위드 망고 용과 스타벅스 리프레셔,90,16,25,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004442]_20230710134637914.jpg
망고 패션 티 블렌디드,150,29,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/02/[9200000004512]_20230207150514519.jpg
레드 파워 패션 티,190,31,33,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/04/[9200000004566]_20230407153247324.jpg
피치 딸기 피지오,145,26,37,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/05/[9200000004567]_20230524144959959.jpg
북한산 레몬 얼 그레이 블렌디드,110,25,8,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004716]_20231115093249657.jpg
피치 요거트 블렌디드,240,35,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/05/[9200000004717]_20230524144903451.jpg
스타벅스 1호점 카페 라떼,191,15,210,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004728]_20230705095319967.jpg
아이스 스타벅스 1호점 카페 라떼,117,9,210,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004730]_20230705095423458.jpg
스타벅스 1호점 바닐라 빈 라떼,234,27,210,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004732]_20230705095515293.jpg
아이스 스타벅스 1호점 바닐라 빈 라떼,159,21,210,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004734]_20230705095557599.jpg
여수 윤슬 헤이즐넛 콜드브루,245,27,53,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/08/[9200000004750]_20230801101409085.jpg
여수 바다 자몽 피지오,250,45,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004751]_20230907153225732.jpg
딸기 아사이 레모네이드 스타벅스 리프레셔,265,62,73,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004753]_20230720103623518.jpg
아이스 자몽 허니 블랙 티,345,79,75,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004769]_20230720103743914.jpg
콜드 브루,5,0,360,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004770]_20230720103902511.jpg
여수 바다 유자 블렌디드,235,57,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004870]_20230905110300704.jpg
코튼 스카이 요거트 블렌디드,270,41,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004871]_20230922091835732.jpg
스타벅스 클래식 밀크 티,299,31,190,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004933]_20230914141718421.jpg
아이스 스타벅스 클래식 밀크 티,198,21,80,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004936]_20230914141811832.jpg
스타벅스 클래식 밀크 티 보틀,485,51,195,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004942]_20231005093132158.jpg
제주팔삭 & 자몽 허니 블랙 티,140,38,70,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004943]_20231005084425183.jpg
아이스 제주팔삭 & 자몽 허니 블랙 티,140,38,27,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004944]_20231005084446623.jpg
스타벅스 클래식 밀크티 블렌디드,315,37,60,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004945]_20231205083518537.jpg
제주팔삭 셔벗 피지오,165,38,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004946]_20240103145000272.jpg
제주팔삭 피지오,150,34,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004947]_20231005084610879.jpg
아이스크림 레드 애플 피지오,240,36,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004948]_20240103144748827.jpg
레드 애플 피지오,110,26,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004949]_20231005084714634.jpg
